"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Calcidiol","Calcidiol","HMDB0003550","5283731","17933","C01561","6949","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C","1"
"2-Hydroxycinnamic acid","2-Hydroxycinnamic acid","HMDB0002641","637540","18125","C01772","6727","OC(=O)\C=C\C1=C(O)C=CC=C1","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(O)=O","1"
"2,3-Dihydroxybutanoic acid","2,3-Dihydroxybutanoic acid","HMDB0245394","250402","86347",NA,NA,"CC(O)C(O)C(O)=O","1"
"Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"N,N-Dimethyl-2-isopropoxyethylamine","NA","NA","NA","NA","NA","NA","NA","0"
"1-hydroxy-1-cyclohexen","NA","NA","NA","NA","NA","NA","NA","0"
"3,6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl","NA","NA","NA","NA","NA","NA","NA","0"
"Deoxycholic acid","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"4-Aminohippuric acid","4-Aminohippuric acid","HMDB0001867","2148","104011","D06890 ","6359","NC1=CC=C(C=C1)C(=O)NCC(O)=O","1"
"alpha-Amino isobutyric acid","NA","NA","NA","NA","NA","NA","NA","0"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","42717","C00191","161","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"Tetradecanoylcarnitine","Tetradecanoylcarnitine","HMDB0005066","53477791","84634",NA,NA,"CCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"alpha-Hydroxyisobutyric acid","alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(O)=O","1"
"L-Leucine","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"Carnitine","L-Carnitine","HMDB0000062","10917","16347","C00487","52","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"Cyclohexyloxy","NA","NA","NA","NA","NA","NA","NA","0"
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381","77086",NA,"6573","CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"Elaidic acid","Elaidic acid","HMDB0000573","637517","27997","C01712","3406","CCCCCCCC\C=C\CCCCCCCC(O)=O","1"
"o-Tyrosine","o-Tyrosine","HMDB0006050","91482","91038",NA,NA,"NC(CC1=CC=CC=C1O)C(O)=O","1"
